item,lift,confidence
sweatpants & parkas,6.813858696,0.025
parkas & sweatpants,6.813858696,0.010869565
thongs & puffs,6.795392954,0.024390244
puffs & thongs,6.795392954,0.011111111
eyewears & shirtdresses,6.777027027,0.05
shirtdresses & eyewears,6.777027027,0.005405405
jumpers & miniskirts,6.722520107,0.1
miniskirts & jumpers,6.722520107,0.002680965
pullovers & parkas,6.704545455,0.05
parkas & pullovers,6.704545455,0.010695187
headbands & thongs,6.673320027,0.044444444
thongs & headbands,6.673320027,0.023952096
espadrilles & underwires,6.454311454,0.2
underwires & espadrilles,6.454311454,0.003861004
sweatshirts & thermals,6.427015251,0.117647059
thermals & sweatshirts,6.427015251,0.004357298
socks & pins,6.42231898,0.11038961
pins & socks,6.42231898,0.039443155
boinas & sunniess,6.421254802,0.018181818
sunniess & boinas,6.421254802,0.014084507
shorts & caftans,6.398315897,1
caftans & shorts,6.398315897,0.000255167
bras & shrugs,6.385281385,0.090909091
shrugs & bras,6.385281385,0.00280112
camisoles & trenchcoats,6.383655804,0.125
trenchcoats & camisoles,6.383655804,0.00203666
shoes & oxfords,6.332070707,0.25
oxfords & shoes,6.332070707,0.015151515
sneakers & caftans,6.319304435,1
caftans & sneakers,6.319304435,0.000252016
leggings & hoodies,6.296327916,0.186567164
hoodies & leggings,6.296327916,0.100942127
socks & headbands,6.270753157,0.107784431
headbands & socks,6.270753157,0.041763341
sweatpants & packs,6.265617191,0.022988506
packs & sweatpants,6.265617191,0.02173913
handbags & purses,6.257575758,0.205882353
purses & handbags,6.257575758,0.093333333
tiaras & sunniess,6.245330012,0.018181818
sunniess & tiaras,6.245330012,0.01369863
coats & shawls,6.228266269,0.229508197
shawls & coats,6.228266269,0.015151515
skirts & boyshorts,6.226719642,1
boyshorts & skirts,6.226719642,0.000248324
pins & overalls,6.214682264,0.038167939
overalls & pins,6.214682264,0.032467532
tights & gloves,6.195607412,0.058064516
gloves & tights,6.195607412,0.038297872
socks & tubes,6.189218542,0.106382979
tubes & socks,6.189218542,0.023201856
headbands & tiaras,6.170535641,0.04109589
tiaras & headbands,6.170535641,0.017964072
bottles & pajamas,6.154884634,0.071428571
bottles & hoods,6.154884634,0.071428571
ballerinass & pajamas,6.154884634,0.071428571
hoods & bottles,6.154884634,0.006872852
pajamas & bottles,6.154884634,0.003436426
pajamas & ballerinass,6.154884634,0.003436426
scarfs & puffers,6.071428571,0.257142857
puffers & scarfs,6.071428571,0.008474576
slippers & hoods,6.050916988,0.035714286
hoods & slippers,6.050916988,0.006756757
socks & packs,6.018481479,0.103448276
packs & socks,6.018481479,0.020881671
joggers & ponchos,6.004549808,0.017241379
ponchos & joggers,6.004549808,0.013888889
bras & briefs,6.003256003,0.085470085
briefs & bras,6.003256003,0.028011204
hoodys & slingbackss,5.995934959,0.019607843
slingbackss & hoodys,5.995934959,0.012195122
tunics & kaftans,5.970238095,0.035714286
kaftans & tunics,5.970238095,0.02
loafers & shawls,5.957472084,0.049180328
shawls & loafers,5.957472084,0.014492754
slippers & robes,5.94476055,0.035087719
robes & slippers,5.94476055,0.013513514
